iPhone1,1|Samsung S5L8900 @ 412MHz|1|PowerVR MBX Lite 3D
iPhone1,2|Samsung S5L8900 @ 412MHz|1|PowerVR MBX Lite 3D
iPhone2,1|Samsung S5PC100 @ 600MHz|1|PowerVR SGX535
iPhone3,1|Apple A4 @ 800MHz|1|PowerVR SGX535
iPhone3,2|Apple A4 @ 800MHz|1|PowerVR SGX535
iPhone3,3|Apple A4 @ 800MHz|1|PowerVR SGX535
iPhone4,1|Apple A5 @ 800MHz|2|PowerVR SGX543MP2
iPhone5,1|Apple A6 @ 1.3GHz|2|PowerVR SGX543MP3
iPhone5,2|Apple A6 @ 1.3GHz|2|PowerVR SGX543MP3
iPhone5,3|Apple A6 @ 1.3GHz|2|PowerVR SGX543MP3
iPhone5,4|Apple A6 @ 1.3GHz|2|PowerVR SGX543MP3
iPhone6,1|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPhone6,2|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPhone7,1|Apple A8 @ 1.4GHz|2|PowerVR GX6450
iPhone7,2|Apple A8 @ 1.4GHz|2|PowerVR GX6450
iPhone8,1|Apple A9 @ 1.85GHz|2|PowerVR GT7600
iPhone8,2|Apple A9 @ 1.85GHz|2|PowerVR GT7600
iPhone8,4|Apple A9 @ 1.85GHz|2|PowerVR GT7600
iPod1,1|Samsung S5L8900 @ 412MHz|1|PowerVR MBX Lite
iPod2,1|Samsung S5L8720 @ 533MHz|1|PowerVR MBX Lite
iPod3,1|Samsung S5L8922 @ 600MHz|1|PowerVR SGX535
iPod4,1|Apple A4 @ 800MHz|1|PowerVR SGX535
iPod5,1|Apple A5 @ 800MHz|2|PowerVR SGX543MP2
iPod7,1|Apple A8 @ 1.1GHz|2|PowerVR GX6450
iPad1,1|Apple A4 @ 1GHz|1|PowerVR SGX535
iPad2,1|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,2|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,3|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,4|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,5|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,6|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad2,7|Apple A5 @ 1GHz|2|PowerVR SGX543MP2
iPad3,1|Apple A5X @ 1GHz|2|PowerVR SGX543MP4
iPad3,2|Apple A5X @ 1GHz|2|PowerVR SGX543MP4
iPad3,3|Apple A5X @ 1GHz|2|PowerVR SGX543MP4
iPad3,4|Apple A6X @ 1.4GHz|2|PowerVR SGX554MP4
iPad3,5|Apple A6X @ 1.4GHz|2|PowerVR SGX554MP4
iPad3,6|Apple A6X @ 1.4GHz|2|PowerVR SGX554MP4
iPad4,1|Apple A7 @ 1.4GHz|2|PowerVR G6430
iPad4,2|Apple A7 @ 1.4GHz|2|PowerVR G6430
iPad4,3|Apple A7 @ 1.4GHz|2|PowerVR G6430
iPad4,4|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad4,5|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad4,6|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad4,7|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad4,8|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad4,9|Apple A7 @ 1.3GHz|2|PowerVR G6430
iPad5,1|Apple A8 @ 1.5GHz|2|PowerVR GX6450
iPad5,2|Apple A8 @ 1.5GHz|2|PowerVR GX6450
iPad5,3|Apple A8X @ 1.5GHz|3|PowerVR GXA6850
iPad5,4|Apple A8X @ 1.5GHz|3|PowerVR GXA6850
iPad6,3|Apple A9X @ 2.16GHz|2|PowerVR 7XT
iPad6,4|Apple A9X @ 2.16GHz|2|PowerVR 7XT
iPad6,7|Apple A9X @ 2.26GHz|2|PowerVR 7XT
iPad6,8|Apple A9X @ 2.26GHz|2|PowerVR 7XT
